PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스피,,HD한국조선해양,"""009540""",,"82,600"
,,,,,,,,코스피,,KPX케미칼,"""025000""",,"46,700"
,,,,,,,,코스피,,DSR,"""155660""",,"5,110"
,,,,,,,,코스피,,HDC현대산업개발,"""294870""",,"12,130"
,,,,,,,,코스피,,GS,"""078930""",,"39,300"
,,,,,,,,코스피,,KG케미칼,"""001390""",,"36,850"
,,,,,,,,코스피,,BNK금융지주,"""138930""",,"6,620"
,,,,,,,,코스피,,AJ네트웍스,"""095570""",,"4,625"
,,,,,,,,코스피,,LG이노텍,"""011070""",,"259,000"
,,,,,,,,코스피,,LX홀딩스,"""383800""",,"8,590"
,,,,,,,,코스피,,MH에탄올,"""023150""",,"7,340"
,,,,,,,,코스피,,SK이노베이션,"""096770""",,"178,600"
,,,,,,,,코스피,,KTis,"""058860""",,"3,210"
,,,,,,,,코스피,,SK케미칼,"""285130""",,"74,500"
,,,,,,,,코스피,,SNT다이내믹스,"""003570""",,"9,350"
,,,,,,,,코스피,,STX,"""011810""",,"8,890"
,,,,,,,,코스피,,LG헬로비전,"""037560""",,"4,125"
,,,,,,,,코스피,,갤럭시아에스엠,"""011420""",,"2,210"
,,,,,,,,코스피,,경농,"""002100""",,"10,190"
,,,,,,,,코스피,,경동인베스트,"""012320""",,"101,700"
,,,,,,,,코스피,,광전자,"""017900""",,"2,815"
,,,,,,,,코스피,,국도화학,"""007690""",,"44,150"
,,,,,,,,코스피,,국보,"""001140""",,570
,,,,,,,,코스피,,극동유화,"""014530""",,"3,655"
,,,,,,,,코스피,,노루페인트,"""090350""",,"8,740"
,,,,,,,,코스피,,녹십자홀딩스,"""005250""",,"16,070"
,,,,,,,,코스피,,대덕전자,"""353200""",,"20,950"
,,,,,,,,코스피,,대림통상,"""006570""",,"3,250"
,,,,,,,,코스피,,대성산업,"""128820""",,"4,020"
,,,,,,,,코스피,,더블유게임즈,"""192080""",,"48,050"
,,,,,,,,코스피,,동원산업,"""006040""",,"44,750"
,,,,,,,,코스피,,두산퓨얼셀,"""336260""",,"30,100"
,,,,,,,,코스피,,락앤락,"""115390""",,"5,720"
,,,,,,,,코스피,,롯데웰푸드,"""280360""",,"105,400"
,,,,,,,,코스피,,명문제약,"""017180""",,"2,650"
,,,,,,,,코스피,,롯데정보통신,"""286940""",,"27,950"
,,,,,,,,코스피,,롯데지주,"""004990""",,"28,100"
,,,,,,,,코스피,,모나리자,"""012690""",,"2,755"
,,,,,,,,코스피,,미원화학,"""134380""",,"64,800"
,,,,,,,,코스피,,보령,"""003850""",,"8,780"
,,,,,,,,코스피,,부국증권,"""001270""",,"19,980"
,,,,,,,,코스피,,비케이탑스,"""030790""",,904
,,,,,,,,코스피,,삼부토건,"""001470""",,"1,061"
,,,,,,,,코스피,,삼성엔지니어링,"""028050""",,"28,400"
,,,,,,,,코스피,,삼성제약,"""001360""",,"2,915"
,,,,,,,,코스피,,삼성출판사,"""068290""",,"22,150"
,,,,,,,,코스피,,삼양패키징,"""272550""",,"18,000"
,,,,,,,,코스피,,삼양홀딩스,"""000070""",,"72,500"
,,,,,,,,코스피,,삼익THK,"""004380""",,"13,460"
,,,,,,,,코스피,,삼호개발,"""010960""",,"3,590"
,,,,,,,,코스피,,삼화전자,"""011230""",,"13,850"
,,,,,,,,코스피,,선진,"""136490""",,"8,220"
,,,,,,,,코스피,,시디즈,"""134790""",,"37,850"
,,,,,,,,코스피,,신대양제지,"""016590""",,"8,340"
,,,,,,,,코스피,,신세계건설,"""034300""",,"18,100"
,,,,,,,,코스피,,신도리코,"""029530""",,"34,250"
,,,,,,,,코스피,,신세계인터내셔날,"""031430""",,"19,660"
,,,,,,,,코스피,,신풍,"""002870""",,999
,,,,,,,,코스피,,신한알파리츠,"""293940""",,"5,790"
,,,,,,,,코스피,,아이에스동서,"""010780""",,"37,350"
,,,,,,,,코스피,,IHQ,"""003560""",,239
,,,,,,,,코스피,,영풍제지,"""006740""",,"17,200"
,,,,,,,,코스피,,에이블씨엔씨,"""078520""",,"8,820"
,,,,,,,,코스피,,오뚜기,"""007310""",,"461,500"
,,,,,,,,코스피,,영화금속,"""012280""",,"1,037"
,,,,,,,,코스피,,우진,"""105840""",,"8,720"
,,,,,,,,코스피,,오리온,"""271560""",,"145,100"
,,,,,,,,코스피,,유나이티드제약,"""033270""",,"23,200"
,,,,,,,,코스피,,윌비스,"""008600""",,605
,,,,,,,,코스피,,이수화학,"""005950""",,"41,500"
,,,,,,,,코스피,,인지컨트롤스,"""023800""",,"8,760"
,,,,,,,,코스피,,인터지스,"""129260""",,"2,450"
,,,,,,,,코스피,,일성건설,"""013360""",,"2,200"
,,,,,,,,코스피,,일정실업,"""008500""",,"12,900"
,,,,,,,,코스피,,일진다이아,"""081000""",,"19,790"
,,,,,,,,코스피,,자화전자,"""033240""",,"33,450"
,,,,,,,,코스피,,제일약품,"""271980""",,"18,780"
,,,,,,,,코스피,,제일파마홀딩스,"""002620""",,"11,800"
,,,,,,,,코스피,,조비,"""001550""",,"16,000"
,,,,,,,,코스피,,종근당홀딩스,"""001630""",,"51,500"
,,,,,,,,코스피,,청호ICT,"""012600""",,"2,490"
,,,,,,,,코스피,,진에어,"""272450""",,"15,830"
,,,,,,,,코스피,,KCTC,"""009070""",,"4,145"
,,,,,,,,코스피,,카프로,"""006380""",,884
,,,,,,,,코스피,,코스맥스,"""192820""",,"76,200"
,,,,,,,,코스피,,코람코더원리츠,"""417310""",,"4,470"
,,,,,,,,코스피,,코오롱글로벌,"""003070""",,"14,790"
,,,,,,,,코스피,,콤텍시스템,"""031820""",,798
,,,,,,,,코스피,,키다리스튜디오,"""020120""",,"7,350"
,,,,,,,,코스피,,태경산업,"""015890""",,"9,350"
,,,,,,,,코스피,,태양금속,"""004100""",,"2,100"
,,,,,,,,코스피,,토니모리,"""214420""",,"4,225"
,,,,,,,,코스피,,TKG휴켐스,"""069260""",,"23,100"
,,,,,,,,코스피,,한국주철관,"""000970""",,"7,190"
,,,,,,,,코스피,,한미사이언스,"""008930""",,"43,000"
,,,,,,,,코스피,,한샘,"""009240""",,"44,800"
,,,,,,,,코스피,,한솔로지스틱스,"""009180""",,"2,890"
,,,,,,,,코스피,,한솔테크닉스,"""004710""",,"6,880"
,,,,,,,,코스피,,한일철강,"""002220""",,"3,300"
,,,,,,,,코스피,,한일홀딩스,"""003300""",,"11,250"
,,,,,,,,코스피,,한창제지,"""009460""",,"1,371"
,,,,,,,,코스피,,한화,"""000880""",,"27,100"
,,,,,,,,코스피,,한화생명,"""088350""",,"2,435"
,,,,,,,,코스피,,한화솔루션,"""009830""",,"45,700"
,,,,,,,,코스피,,핸즈코퍼레이션,"""143210""",,"3,090"
,,,,,,,,코스피,,현대건설,"""000720""",,"40,350"
,,,,,,,,코스피,,현대로템,"""064350""",,"33,550"
,,,,,,,,코스피,,현대비앤지스틸,"""004560""",,"17,410"
,,,,,,,,코스피,,현대차,"""005380""",,"198,200"
,,,,,,,,코스피,,현대차증권,"""001500""",,"8,890"
,,,,,,,,코스피,,호전실업,"""111110""",,"7,600"
,,,,,,,,코스닥,,CJ 바이오사이언스,"""311690""",,"32,500"
,,,,,,,,코스닥,,DH오토웨어,"""025440""",,614
,,,,,,,,코스닥,,HLB,"""028300""",,"35,150"
,,,,,,,,코스닥,,IBKS제17호스팩,"""405350""",,"2,300"
,,,,,,,,코스닥,,ISC,"""095340""",,"39,250"
,,,,,,,,코스닥,,KB오토시스,"""024120""",,"5,700"
,,,,,,,,코스닥,,KH바텍,"""060720""",,"18,870"
,,,,,,,,코스닥,,KT서브마린,"""060370""",,"6,850"
,,,,,,,,코스닥,,LB루셈,"""376190""",,"7,410"
,,,,,,,,코스닥,,RFHIC,"""218410""",,"22,150"
,,,,,,,,코스닥,,TJ미디어,"""032540""",,"7,240"
,,,,,,,,코스닥,,감성코퍼레이션,"""036620""",,"2,840"
,,,,,,,,코스닥,,강스템바이오텍,"""217730""",,"3,150"
,,,,,,,,코스닥,,골프존,"""215000""",,"119,900"
,,,,,,,,코스닥,,광무,"""029480""",,"4,965"
,,,,,,,,코스닥,,교보13호스팩,"""440790""",,"2,100"
,,,,,,,,코스닥,,국순당,"""043650""",,"6,520"
,,,,,,,,코스닥,,그리티,"""204020""",,"2,805"
,,,,,,,,코스닥,,그린플러스,"""186230""",,"10,120"
,,,,,,,,코스닥,,글로본,"""019660""",,"2,030"
,,,,,,,,코스닥,,나노브릭,"""286750""",,"1,427"
,,,,,,,,코스닥,,나래나노텍,"""137080""",,"9,310"
,,,,,,,,코스닥,,네오티스,"""085910""",,"4,455"
