업종구분,종목명,종목코드,선정/비선정,현재가,(연간)매출액,(연간)순이익,순이익율,PER,PBR,배당수익률,(연간)부채비율,(연간)ROE,환율,금리,핵심키워드업종순위,
전기/전자,삼성전자,5930,1,65200,3022314,556541,18%,8.15,1.29,2.6%,26.4,17.06,,,1,
전기/전자,SK하이닉스,660,0,87200,446216,22417,5%,29.09,0.97,1.6%,64.11,3.55,,,1,
KQ 반도체,원익IPS,240810,0,30100,10115,894,9%,16.77,1.68,0.8%,28.96,10.7,,,4,
KQ 반도체,테스,95610,1,21700,3580,468,13%,9.21,1.25,3.2%,9.73,15.54,,,4,
KQ 반도체,주성엔지니어링,36930,1,16310,4379,1062,24%,7.74,1.68,1.8%,71.9,24.85,,,4,
KQ 반도체,유진테크,84370,1,28650,3106,426,14%,17.34,1.97,1.2%,25.18,12.28,,,4,
KQ 화학,디엔에프,92070,0,16870,1352,58,4%,34.67,1.33,1.5%,20.77,3.92,,,1,
KQ 반도체,피에스케이,319660,1,20400,4609,774,17%,7.95,1.73,2.6%,33.77,24.11,,,4,
KQ 기계/장비,에이피티씨,89970,1,10860,1414,279,20%,9.57,2.15,0.0%,32.84,24.03,,,2,
KQ 반도체,넥스틴,348210,1,63900,1149,434,38%,14.86,6.5,1.0%,21.63,52.53,,,4,
KQ 기계/장비,오로스테크놀로지,322310,0,16850,354,-30,-8%,0,2.68,0.0%,14.12,-4.74,,,1,
KQ 비금속,원익QnC,74600,0,24700,7832,582,7%,12.23,1.75,0.6%,171.17,15.75,,,1,
KQ 반도체,월덱스,101160,1,21900,2559,415,16%,8.93,1.99,0.3%,40.83,25.17,,,4,
KQ 반도체,티씨케이,64760,1,93400,3196,941,29%,11.95,2.7,1.8%,15.27,24.87,,,4,
KQ 기계/장비,케이엔제이,272110,1,17190,623,100,16%,14.03,2.6,0.0%,100.98,20.41,,,2,
KQ 반도체,미코,59090,0,9100,4148,-312,-8%,0,2.1,0.0%,94.3,-33.23,,,4,
KQ 반도체,하나머티리얼즈,166090,1,43000,3073,801,26%,11.18,2.97,1.8%,61.18,28.9,,,4,
KQ 반도체,리노공업,58470,1,135400,3224,1144,35%,18.45,4.26,1.9%,7.76,25.11,,,4,
KQ 화학,솔브레인,357780,1,216500,10909,1677,15%,10.51,2.19,0.9%,16.97,23.02,,,2,
의료정밀,케이씨텍,281820,1,19310,3782,554,15%,7.23,0.91,1.7%,13.45,13.65,,,1,
KQ 반도체,네패스,33640,1,20650,5880,945,16%,6.2,1.91,0.0%,188.52,36.47,,,4,
KQ 반도체,두산테스나,131970,1,35550,2777,523,19%,11.85,1.99,0.6%,147.55,18.29,,,4,
KQ 반도체,LB세미콘,61970,0,7880,5246,447,9%,8.79,1.31,0.0%,101.25,16.16,,,4,
KQ 반도체,ISC,95340,1,37450,1789,439,25%,15.17,2.39,1.9%,33.73,17.91,,,4,
KQ 반도체,이오테크닉스,39030,1,84200,4472,772,17%,14.2,2.01,1.5%,14.23,15.14,,,4,
KQ 반도체,오킨스전자,80580,0,18000,642,30,5%,111.88,9.62,0.0%,150.38,8.36,,,4,
KQ 반도체,마이크로컨텍솔,98120,1,6490,611,70,11%,7.89,1.14,1.5%,16.95,15.55,,,4,
KQ 반도체,엑시콘,92870,1,9680,912,152,17%,7.06,0.72,1.1%,17.15,10.97,,,4,
의료정밀,디아이,3160,0,8090,2310,152,7%,18.27,1.46,2.1%,68.06,9.97,,,1,
KQ 반도체,제이티,89790,1,7990,819,150,18%,5.64,1.38,0.0%,48.04,29.88,,,4,
KQ 반도체,테크윙,89030,1,6680,2675,332,12%,7.95,1.06,2.3%,98.83,14.54,,,4,
KQ 반도체,티에스이,131290,1,38350,3393,534,16%,8.81,1.49,1.4%,31.76,18.8,,,4,
기계,한미반도체,42700,1,20300,3276,923,28%,23.13,5.39,1.7%,16.74,25.04,,,2,
KQ 기계/장비,에스에프에이,56190,0,39800,16844,1060,6%,18.82,1.27,2.4%,36.27,6.97,,,1,
KQ 기계/장비,고영,98460,1,13350,2754,393,14%,23.65,2.97,1.1%,28.34,13.41,,,2,
KQ 반도체,인텍플러스,64290,1,20300,1188,163,14%,16.74,3.93,1.5%,72.98,27.68,,,4,
KQ 의료/정밀기기,파크시스템스,140860,1,145700,1245,280,22%,37.41,8.72,0.4%,39.83,26.7,,,2,
KQ 기계/장비,제우스,79370,0,29100,5090,352,7%,8.82,1.09,1.4%,119.31,13.4,,,1,
전기/전자,해성디에스,195870,1,45700,8394,1594,19%,5.02,1.79,2.5%,47.46,42.98,,,1,
전기/전자,DB하이텍,990,1,63800,16753,5588,33%,5.2,1.73,3.5%,29.56,40.72,,,1,
서비스업,NAVER,35420,0,190000,82201,6732,8%,41.06,1.25,0.5%,44.55,3.28,,,1,
서비스업,카카오,35720,1,57200,71068,10626,15%,19.06,2.53,0.1%,69.69,13.54,,,2,
